"   zus: Bei der Frau
 lemma: werden
 narg1: der Geschlechtshöcker
 narg2: zur Klitoris",,"



kli (""Klitoris"")",,27.05.2025 23:00:23 CEST,1,C8FJ558Z,2575YNWY,275,01A
" lemma: entstehen
 narg1: Sie
 narg2: aus der Verschmelzung der beiden Crura clitoridis , die als Schwellkörper vom unteren Rand der absteigenden Schambeinäste herkommen und im Orgasmus anschwellen","

Klitoris
der beiden Crura clitoridis (""die"")","


cru (""Crura clitoridis"")",,27.05.2025 23:00:25 CEST,7,C8FJ558Z,BJRL5U9T,319,04A
 lemma: herkommen,,,,27.05.2025 23:00:25 CEST,7,C8FJ558Z,BJRL5U9T,319,05A
 lemma: anschwellen,,,,27.05.2025 23:00:25 CEST,7,C8FJ558Z,BJRL5U9T,319,06A
" lemma: sich vereinigen
  narg: Die Crura",,"

cru (""Crura"")",,27.05.2025 23:00:25 CEST,7,C8FJ558Z,BJRL5U9T,319,07A
" lemma: sich vereinigen
  narg: Die Crura
  farg: zum Corpus clitoridis",,"

cru (""Crura"")
cor (""Corpus clitoridis"")",,27.05.2025 23:00:25 CEST,7,C8FJ558Z,BJRL5U9T,319,07B
" lemma: sich vereinigen
  narg: Die Crura
  farg: zum Corpus clitoridis
 pspez: in der Mitte",,"

cru (""Crura"")
cor (""Corpus clitoridis"")
",,27.05.2025 23:00:25 CEST,7,C8FJ558Z,BJRL5U9T,319,07C
" lemma: entsprechen
 narg1: Die Crura
 narg2: den Schwellkörpern des Penis",,"

cru (""Crura"")
",,27.05.2025 23:00:25 CEST,7,C8FJ558Z,BJRL5U9T,319,08A
" lemma: die Klitoris umschließen
  narg: Die vorderen Enden der kleinen Schamlippen",,"
kli (""Klitoris"")
",,27.05.2025 23:00:25 CEST,7,C8FJ558Z,BJRL5U9T,319,09A
" lemma: die Klitoris umschließen
  narg: Die vorderen Enden der kleinen Schamlippen
pspez1: als Hautfalte",,"
kli (""Klitoris"")

",,27.05.2025 23:00:25 CEST,7,C8FJ558Z,BJRL5U9T,319,09B
" lemma: die Klitoris umschließen
  narg: Die vorderen Enden der kleinen Schamlippen
pspez1: indem sie auf deren Rücken das Praeputium .
clitoridis bilden","


die Klitoris (""deren"")","
kli (""Klitoris"")

pra (""Praeputium .
clitoridis"")",,27.05.2025 23:00:25 CEST,7,C8FJ558Z,BJRL5U9T,319,09C
" lemma: das Praeputium .
clitoridis bilden
  narg: sie","

der kleinen Schamlippen","
pra (""Praeputium .
clitoridis"")
",,27.05.2025 23:00:25 CEST,7,C8FJ558Z,BJRL5U9T,319,10A
" lemma: das Praeputium .
clitoridis bilden
  narg: sie
 pspez: auf deren Rücken","

der kleinen Schamlippen
die Klitoris (""deren"")","
pra (""Praeputium .
clitoridis"")

",,27.05.2025 23:00:25 CEST,7,C8FJ558Z,BJRL5U9T,319,10B
" lemma: ,
 narg1: die Eichel des Kitzlers
 narg2: Glans clitoridis",,"

gla
gla",,27.05.2025 23:00:25 CEST,7,C8FJ558Z,BJRL5U9T,319,11A
" lemma: hervorschauen lassen
 narg1: das
 narg2: die Eichel des Kitzlers","

Praeputium .
clitoridis
","


gla",,27.05.2025 23:00:25 CEST,7,C8FJ558Z,BJRL5U9T,319,12A
" lemma: sich vereinigen
  narg: sie","

der kleinen Schamlippen",,,27.05.2025 23:00:25 CEST,7,C8FJ558Z,BJRL5U9T,319,13A
" lemma: sich vereinigen
  narg: sie
  farg: zum Frenulum clitoridis","

der kleinen Schamlippen
","


fre (""Frenulum clitoridis"")",,27.05.2025 23:00:25 CEST,7,C8FJ558Z,BJRL5U9T,319,13B
" lemma: sich vereinigen
  narg: sie
  farg: zum Frenulum clitoridis
 pspez: unterhalb der Klitoris","

der kleinen Schamlippen

","


fre (""Frenulum clitoridis"")
gla (""Klitoris"")",,27.05.2025 23:00:25 CEST,7,C8FJ558Z,BJRL5U9T,319,13C
"   zus: bei Pseudohermaphreditismus femininus ext
 lemma: nahe kommen können
 narg1: Die Klitoris
 narg2: der Größe eines männlichen Penis",,"


kli (""Klitoris"")
",,27.05.2025 23:00:25 CEST,7,C8FJ558Z,BJRL5U9T,319,14A
" lemma: liegen
  narg: die Schwellkörper des Vorhofs , Bulbi vestibuli",,"

bul (""Bulbi vestibuli"")",,27.05.2025 23:00:25 CEST,8,C8FJ558Z,DBNG8FA6,320,01A
" lemma: liegen
  narg: die Schwellkörper des Vorhofs , Bulbi vestibuli
pspez1: Zu beiden Seiten des Scheidenvorhofs",,"

bul (""Bulbi vestibuli"")
",,27.05.2025 23:00:25 CEST,8,C8FJ558Z,DBNG8FA6,320,01B
" lemma: liegen
  narg: die Schwellkörper des Vorhofs , Bulbi vestibuli
pspez1: an der Basis der kleinen Schamlippen",,"

bul (""Bulbi vestibuli"")
",,27.05.2025 23:00:25 CEST,8,C8FJ558Z,DBNG8FA6,320,01C
" lemma: ,
 narg1: die Schwellkörper des Vorhofs
 narg2: Bulbi vestibuli",,"

bul
bul",,27.05.2025 23:00:25 CEST,8,C8FJ558Z,DBNG8FA6,320,02A
" lemma: entsprechen
 narg1: die Schwellkörper der Klitoris
 narg2: den Schwellkörpern des Penis",,"

cac
",,27.05.2025 23:00:25 CEST,8,C8FJ558Z,DBNG8FA6,320,03A
" lemma: das Gegenstück bilden
 narg1: die Bulbi vestibuli
 narg2: zu dem Corpus cavernosum urethrae des Mannes",,"

bul (""Bulbi vestibuli"")
",,27.05.2025 23:00:25 CEST,8,C8FJ558Z,DBNG8FA6,320,04A
"   zus: Denken wir uns die Harnröhre des Mannes von unten her aufgeschlitzt und weit auseinandergedrängt
 lemma: wieder eröffnet sein
  narg: der Sinus urogenitalis",,,,27.05.2025 23:00:25 CEST,8,C8FJ558Z,DBNG8FA6,320,05A
" lemma: in eine ähnliche Lage geraten
 narg1: die Schwellkörper
 narg2: wie {die Schwellkörper} bei der Frau",,"


bul (""bei der Frau"")",,27.05.2025 23:00:25 CEST,8,C8FJ558Z,DBNG8FA6,320,06A
" lemma: keulenförmig verdickt sein
  narg: Die paarigen Bulbi vestibuli",,"

bul (""Bulbi vestibuli"")",,27.05.2025 23:00:25 CEST,8,C8FJ558Z,DBNG8FA6,320,07A
" lemma: keulenförmig verdickt sein
  narg: Die paarigen Bulbi vestibuli
 pspez: am dorsalen Ende",,"

bul (""Bulbi vestibuli"")
",,27.05.2025 23:00:25 CEST,8,C8FJ558Z,DBNG8FA6,320,07B
" lemma: sich ventral verjüngen
  narg: Die paarigen Bulbi vestibuli",,"

bul (""Bulbi vestibuli"")",,27.05.2025 23:00:25 CEST,8,C8FJ558Z,DBNG8FA6,320,08A
" lemma: sich an der Glans clitoridis verbinden
  narg: Die paarigen Bulbi vestibuli",,"
gla (""Glans clitoridis"")
bul (""Bulbi vestibuli"")",,27.05.2025 23:00:25 CEST,8,C8FJ558Z,DBNG8FA6,320,09A
" lemma: sich an der Glans clitoridis verbinden
  narg: Die paarigen Bulbi vestibuli
pspez1: über die Harnröhrenmündung hinweg",,"
gla (""Glans clitoridis"")
bul (""Bulbi vestibuli"")
",,27.05.2025 23:00:25 CEST,8,C8FJ558Z,DBNG8FA6,320,09B
" lemma: sich an der Glans clitoridis verbinden
  narg: Die paarigen Bulbi vestibuli
pspez1: mit kleinen Venengeflechten",,"
gla (""Glans clitoridis"")
bul (""Bulbi vestibuli"")
",,27.05.2025 23:00:25 CEST,8,C8FJ558Z,DBNG8FA6,320,09C
" lemma: ,
 narg1: eine Schmiere
 narg2: Smegma",,"


?",,27.05.2025 23:00:25 CEST,9,C8FJ558Z,DEEJEVGH,320,01A
" lemma: erzeugen
narg1A: das Sekret der Talgdrüsen
 narg2: eine Schmiere , Smegma",,"


? (""Smegma"")",,27.05.2025 23:00:25 CEST,9,C8FJ558Z,DEEJEVGH,320,02A
" lemma: erzeugen
narg1A: das Sekret der Talgdrüsen
 narg2: eine Schmiere , Smegma
 pspez: ähnlich wie in der Vorhauttasche des männlichen Gliedes",,"


? (""Smegma"")
",,27.05.2025 23:00:25 CEST,9,C8FJ558Z,DEEJEVGH,320,02B
" lemma: erzeugen
narg1A: das Sekret der Talgdrüsen
 narg2: eine Schmiere , Smegma
narg1B: die abgeschilferten Epithelien
 pspez: ähnlich wie in der Vorhauttasche des männlichen Gliedes",,"


? (""Smegma"")

",,27.05.2025 23:00:25 CEST,9,C8FJ558Z,DEEJEVGH,320,02C
" lemma: erzeugen
narg1A: das Sekret der Talgdrüsen
 narg2: eine Schmiere , Smegma
narg1B: die abgeschilferten Epithelien
 pspez: ähnlich wie in der Vorhauttasche des männlichen Gliedes",,"


? (""Smegma"")

",,27.05.2025 23:00:25 CEST,9,C8FJ558Z,DEEJEVGH,320,02D
" lemma: gehen
 narg1: die A. dorsalis clitoridis
 narg2: zur Glans clitoridis",,"

art (""A. dorsalis clitoridis"")
gla (""Glans clitoridis"")",,27.05.2025 23:00:25 CEST,10,C8FJ558Z,KBZKCMZT,321,01A
" lemma: gehen
 narg1: die A. dorsalis clitoridis
 narg2: zur Glans clitoridis
  farg: Aus der A. pudendalis int .",,"

art (""A. dorsalis clitoridis"")
gla (""Glans clitoridis"")
",,27.05.2025 23:00:25 CEST,10,C8FJ558Z,KBZKCMZT,321,01B
" lemma: gehen
 narg1: die A. profunda clitoridis
 narg2: zum Crus clitoridis",,"

art (""A. profunda clitoridis"")
cru (""Crus clitoridis"")",,27.05.2025 23:00:25 CEST,10,C8FJ558Z,KBZKCMZT,321,02A
" lemma: gehen
 narg1: die A. profunda clitoridis
 narg2: zum Crus clitoridis
  farg: Aus der A. pudendalis int .",,"

art (""A. profunda clitoridis"")
cru (""Crus clitoridis"")
",,27.05.2025 23:00:25 CEST,10,C8FJ558Z,KBZKCMZT,321,02B
" lemma: gehen
 narg1: die A. bulbi vestibuli
 narg2: zum Bulbus vestibuli",,"

art (""A. bulbi vestibuli"")
bul (""Bulbus vestibuli"")",,27.05.2025 23:00:25 CEST,10,C8FJ558Z,KBZKCMZT,321,03A
" lemma: gehen
 narg1: die A. bulbi vestibuli
 narg2: zum Bulbus vestibuli
  farg: Aus der A. pudendalis int .",,"

art (""A. bulbi vestibuli"")
bul (""Bulbus vestibuli"")
",,27.05.2025 23:00:25 CEST,10,C8FJ558Z,KBZKCMZT,321,03B
" lemma: aufnehmen
 narg1: Die V. dorsalis clitoridis
narg2A: das Blut der Glans",,"

ven (""V. dorsalis clitoridis"")
gla (""Glans"")",,27.05.2025 23:00:25 CEST,10,C8FJ558Z,KBZKCMZT,321,04A
" lemma: aufnehmen
 narg1: Die V. dorsalis clitoridis
narg2A: das Blut der Glans
narg2B: des Corpus clitoridis",,"

ven (""V. dorsalis clitoridis"")
gla (""Glans"")
cor (""Corpus clitoridis"")",,27.05.2025 23:00:25 CEST,10,C8FJ558Z,KBZKCMZT,321,04B
" lemma: schicken
 narg1: Der Bulbus vestibuli
 narg2: seine Venen
narg3A: zu dem Plexus uterovaginalis",,"

bul (""Bulbus vestibuli"")

",,27.05.2025 23:00:25 CEST,10,C8FJ558Z,KBZKCMZT,321,05A
" lemma: schicken
 narg1: Der Bulbus vestibuli
 narg2: seine Venen
narg3A: zu dem Plexus uterovaginalis
 pspez: außerdem bestehen Verbindungen zu den übrigen Venen der äußeren Geschlechtsorgane",,"

bul (""Bulbus vestibuli"")


",,27.05.2025 23:00:25 CEST,10,C8FJ558Z,KBZKCMZT,321,05B
" lemma: schicken
 narg1: Der Bulbus vestibuli
 narg2: seine Venen
narg3A: zu dem Plexus uterovaginalis
narg3B: zum Teil in die Venae obturatoriae
 pspez: außerdem bestehen Verbindungen zu den übrigen Venen der äußeren Geschlechtsorgane",,"

bul (""Bulbus vestibuli"")



",,27.05.2025 23:00:25 CEST,10,C8FJ558Z,KBZKCMZT,321,05C
" lemma: schicken
 narg1: Der Bulbus vestibuli
 narg2: seine Venen
narg3A: zu dem Plexus uterovaginalis
narg3B: zum Teil in die Venae obturatoriae
 pspez: außerdem bestehen Verbindungen zu den übrigen Venen der äußeren Geschlechtsorgane",,"

bul (""Bulbus vestibuli"")



",,27.05.2025 23:00:25 CEST,10,C8FJ558Z,KBZKCMZT,321,05D
" lemma: bedecken
 narg1: Der M. ischiocavernosus
narg2A: die Wurzeln des paarigen Schwellkörpers",,,,27.05.2025 23:00:26 CEST,11,C8FJ558Z,LX8YD5JT,326,01A
" lemma: bedecken
 narg1: Der M. ischiocavernosus
narg2A: die Wurzeln des paarigen Schwellkörpers
narg2B: die Crura clitoridis",,"



cru",,27.05.2025 23:00:26 CEST,11,C8FJ558Z,LX8YD5JT,326,01B
" lemma: drängen
 narg1: Der M. ischiocavernosus
 narg2: das Blut
 narg3: in die Schwellkörper",,"



cac (""die Schwellkörper"")",,27.05.2025 23:00:26 CEST,11,C8FJ558Z,LX8YD5JT,326,02A
" lemma: aus venösen Netzen {d. Bulbi vestibuli} bestehen
  narg: ie Bulbi vestibuli",,"
bul (""venösen Netzen"")
bul (""Bulbi vestibuli"")",,27.05.2025 23:00:26 CEST,12,C8FJ558Z,NL2TX777,320,01A
" lemma: zusammengehalten werden
  narg: die","

venösen Netzen {d. Bulbi vestibuli}",,,27.05.2025 23:00:26 CEST,12,C8FJ558Z,NL2TX777,320,02A
" lemma: zusammengehalten werden
  narg: die
 pspez: durch Bindegewebe mit einigen glatten Muskelzellen","

venösen Netzen {d. Bulbi vestibuli}
",,,27.05.2025 23:00:26 CEST,12,C8FJ558Z,NL2TX777,320,02B
" lemma: außen eine dünne Bindegewebshülle besitzen
  narg: die","

venösen Netzen {d. Bulbi vestibuli}",,,27.05.2025 23:00:26 CEST,12,C8FJ558Z,NL2TX777,320,03A
" lemma: zum Teil kavernös erweitert sein
  narg: Die Venen {der venösen Netze der Bulbi vestibuli}","

ie Bulbi vestibuli","

bul",,27.05.2025 23:00:26 CEST,12,C8FJ558Z,NL2TX777,320,04A
"   zus: bei ihrer Füllung
 lemma: bilden
 narg1: Die Venen {der venösen Netze der Bulbi vestibuli}
 narg2: weich geschwellte Kissen , die den Scheideneingang auspolstern","


ie Bulbi vestibuli
","


bul
bul (""weich geschwellte Kissen"")",,27.05.2025 23:00:26 CEST,12,C8FJ558Z,NL2TX777,320,05A
" lemma: auspolstern
 narg1: die
 narg2: den Scheideneingang",,,,27.05.2025 23:00:26 CEST,12,C8FJ558Z,NL2TX777,320,06A
"   zus: nicht
 lemma: stattfinden
  narg: Eine steife Erektion {der Bulbi vestibuli}","


ie Bulbi vestibuli","


bul",,27.05.2025 23:00:26 CEST,12,C8FJ558Z,NL2TX777,320,07A
"   zus: nicht
 lemma: stattfinden
  narg: Eine steife Erektion {der Bulbi vestibuli}
 pspez: genau wie bei den entsprechenden Schwellkörpern der Harnröhre des Mannes","


ie Bulbi vestibuli
","


bul
",,27.05.2025 23:00:26 CEST,12,C8FJ558Z,NL2TX777,320,07B
" lemma: bedecken
 narg1: er M. ischiocavernosus
 narg2: die paarigen Schwellkörper , die als Crura corporis cavernosi penis bzw. als Crura clitoridis an die unteren Schambeinäste angeheftet sind","


die paarigen Schwellkörper (""die"")","


cru (""Crura clitoridis"")",,27.05.2025 23:00:26 CEST,14,C8FJ558Z,S2IQZ76I,325,01A
" lemma: an die unteren Schambeinäste angeheftet sein
  narg: die","

die paarigen Schwellkörper",,,27.05.2025 23:00:26 CEST,14,C8FJ558Z,S2IQZ76I,325,02A
" lemma: an die unteren Schambeinäste angeheftet sein
  narg: die
pspezA: als Crura corporis cavernosi penis","

die paarigen Schwellkörper
",,,27.05.2025 23:00:26 CEST,14,C8FJ558Z,S2IQZ76I,325,02B
" lemma: an die unteren Schambeinäste angeheftet sein
  narg: die
pspezB: als Crura clitoridis","

die paarigen Schwellkörper
","


cru (""Crura clitoridis"")",,27.05.2025 23:00:26 CEST,14,C8FJ558Z,S2IQZ76I,325,02C
"   zus: Bei hochgradigen Formen
 lemma: kurz bleiben
  narg: der Geschl-chtshöcker","Zypospadie


",,,27.05.2025 23:00:27 CEST,15,C8FJ558Z,U5RX6Z2G,275,01A
"   zus: Bei hochgradigen Formen
 lemma: kurz bleiben
  narg: der Geschl-chtshöcker
 pspez: wie eine Klitoris","Zypospadie



","



kli (""Klitoris"")",,27.05.2025 23:00:27 CEST,15,C8FJ558Z,U5RX6Z2G,275,01B
" lemma: zur Glans werden
  narg: Das vordere Ende","

des unpaaren Geschlechtshöckers ( Tuber genitale oder Phallus )","
gla (""Glans"")
",,27.05.2025 23:00:27 CEST,16,C8FJ558Z,WRD2EW97,273,01A
" lemma: auf den Rücken der Klitoris gelangen
  narg: Ein R. dorsalis clitoridis",,"
cor (""Klitoris"")
ner (""R. dorsalis clitoridis"")",,27.05.2025 23:00:27 CEST,17,C8FJ558Z,XMHHYMIP,321,01A
" lemma: hintreiben können
 narg1: er
 narg2: das Blut im Schwellkörper
 narg3: nach vorn zur Eichel","

Der M. ischiocavernosus der Frau

","


cac (""Schwellkörper"")
gla (""Eichel"")",,27.05.2025 23:00:28 CEST,18,C8FJ558Z,XWZNHQ9N,326,01A
" lemma: hintreiben können
 narg1: er
 narg2: das Blut im Schwellkörper
 narg3: nach vorn zur Eichel
 pspez: Auch","

Der M. ischiocavernosus der Frau


","


cac (""Schwellkörper"")
gla (""Eichel"")
",,27.05.2025 23:00:28 CEST,18,C8FJ558Z,XWZNHQ9N,326,01B
"   zus: Beim weiblichen Geschlecht ( Abb.16la , b
 lemma: werden
 narg1: der Geschlechtshöcker
 narg2: zur Klitoris",,"



kli (""Klitoris"")",,27.05.2025 23:00:28 CEST,19,C8FJ558Z,YUGKY9SF,275,01A
" lemma: Ventral zur Clitoris zeihen
  narg: kleine Falten",,"
gla (""Clitoris"")
",,27.05.2025 23:00:28 CEST,20,ELEVP32P,28FAM7YK,677f,01A
" lemma: Ventral zur Clitoris zeihen
  narg: kleine Falten
 pspez: von den Labia minora",,"
gla (""Clitoris"")

",,27.05.2025 23:00:28 CEST,20,ELEVP32P,28FAM7YK,677f,01B
" lemma: kleine Falten sein
 nargA: das Frenulum clitoridis",,"

fre (""Frenulum clitoridis"")",,27.05.2025 23:00:28 CEST,20,ELEVP32P,28FAM7YK,677f,02A
" lemma: kleine Falten sein
 nargA: das Frenulum clitoridis
 nargB: das Praeputium clitoridis",,"

fre (""Frenulum clitoridis"")
pra (""Praeputium clitoridis"")",,27.05.2025 23:00:28 CEST,20,ELEVP32P,28FAM7YK,677f,02B
" lemma: den Bulbus vestibuli versorgen
  narg: die A. bulbi vestibuli",,"
bul (""Bulbus vestibuli"")
art (""A. bulbi vestibuli"")",,27.05.2025 23:00:28 CEST,21,ELEVP32P,64Q9G7MU,679,01A
" lemma: den Bulbus vestibuli versorgen
  narg: die A. bulbi vestibuli
 pspez: Aus der A. pudenda interna",,"
bul (""Bulbus vestibuli"")
art (""A. bulbi vestibuli"")
",,27.05.2025 23:00:28 CEST,21,ELEVP32P,64Q9G7MU,679,01B
" lemma: die Clitoris versorgen
 nargA: die A. profunda clitoridis",,"
kli (""Clitoris"")
art (""Aa .
profunda"")",,27.05.2025 23:00:28 CEST,21,ELEVP32P,64Q9G7MU,679,02A
" lemma: die Clitoris versorgen
 nargA: die A. profunda clitoridis
 pspez: Aus der A. pudenda interna",,"
kli (""Clitoris"")
art (""Aa .
profunda"")
",,27.05.2025 23:00:28 CEST,21,ELEVP32P,64Q9G7MU,679,02B
" lemma: die Clitoris versorgen
 nargA: die A. profunda clitoridis
 nargB: A. dorsalis clitoridis
 pspez: Aus der A. pudenda interna",,"
kli (""Clitoris"")
art (""Aa .
profunda"")
art
",,27.05.2025 23:00:28 CEST,21,ELEVP32P,64Q9G7MU,679,02C
" lemma: die Clitoris versorgen
 nargA: die A. profunda clitoridis
 nargB: A. dorsalis clitoridis
 pspez: Aus der A. pudenda interna",,"
kli (""Clitoris"")
art (""Aa .
profunda"")
art
",,27.05.2025 23:00:28 CEST,21,ELEVP32P,64Q9G7MU,679,02D
" lemma: zwischen dem ventralen Teil der großen Schamlippen hervorragen
  narg: Die Glans clitoridis",,"

gla (""Glans clitoridis"")",,27.05.2025 23:00:29 CEST,22,ELEVP32P,6LTWF36Y,678f,01A
" lemma: zwischen dem ventralen Teil der großen Schamlippen hervorragen
  narg: Die Glans clitoridis
 pspez: als kleines rundliches Knöpfchen",,"

gla (""Glans clitoridis"")
",,27.05.2025 23:00:29 CEST,22,ELEVP32P,6LTWF36Y,678f,01B
" lemma: umgeben werden
  narg: Sie","

Glans clitoridis",,,27.05.2025 23:00:29 CEST,22,ELEVP32P,6LTWF36Y,678f,02A
" lemma: umgeben werden
  narg: Sie
  farg: vom Praeputium clitoridis , einer kleinen Hautfalte","

Glans clitoridis
","


pra (""Praeputium clitoridis"")",,27.05.2025 23:00:29 CEST,22,ELEVP32P,6LTWF36Y,678f,02B
" lemma: umgeben werden
  narg: Sie
  farg: vom Praeputium clitoridis , einer kleinen Hautfalte
pspez1: gemeinsam mit dem Corpus clitoridis","

Glans clitoridis

","


pra (""Praeputium clitoridis"")
cor (""Corpus clitoridis"")",,27.05.2025 23:00:29 CEST,22,ELEVP32P,6LTWF36Y,678f,02C
" lemma: umgeben werden
  narg: Sie
  farg: vom Praeputium clitoridis , einer kleinen Hautfalte
pspez1: gemeinsam mit dem Corpus clitoridis
pspez2A: vorn","

Glans clitoridis


","


pra (""Praeputium clitoridis"")
cor (""Corpus clitoridis"")
",,27.05.2025 23:00:29 CEST,22,ELEVP32P,6LTWF36Y,678f,02D
" lemma: umgeben werden
  narg: Sie
  farg: vom Praeputium clitoridis , einer kleinen Hautfalte
pspez1: gemeinsam mit dem Corpus clitoridis
pspez2B: seitlich","

Glans clitoridis


","


pra (""Praeputium clitoridis"")
cor (""Corpus clitoridis"")
",,27.05.2025 23:00:29 CEST,22,ELEVP32P,6LTWF36Y,678f,02E
" lemma: einer kleinen Hautfalte sein
  narg: Praeputium clitoridis",,"

pra",,27.05.2025 23:00:29 CEST,22,ELEVP32P,6LTWF36Y,678f,03A
" lemma: beiderseits zeihen
 narg1: das Frenulum clitoridis
 narg2: zu den kleinen Schamlippen",,"

fre (""Frenulum clitoridis"")
",,27.05.2025 23:00:29 CEST,22,ELEVP32P,6LTWF36Y,678f,04A
" lemma: beiderseits zeihen
 narg1: das Frenulum clitoridis
 narg2: zu den kleinen Schamlippen
 pspez: Von der Unterseite des Kitzlers",,"

fre (""Frenulum clitoridis"")

gla (""Kitzlers"")",,27.05.2025 23:00:29 CEST,22,ELEVP32P,6LTWF36Y,678f,04B
" lemma: sich bilden
  narg: eine weißliche Masse , das Smegma clitoridis",,"

? (""Smegma clitoridis"")",,27.05.2025 23:00:29 CEST,22,ELEVP32P,6LTWF36Y,678f,05A
" lemma: sich bilden
  narg: eine weißliche Masse , das Smegma clitoridis
pspez1: Zwischen Clitoris und Praeputium clitoridis",,"

? (""Smegma clitoridis"")
pra (""Praeputium clitoridis"")",,27.05.2025 23:00:29 CEST,22,ELEVP32P,6LTWF36Y,678f,05B
" lemma: sich bilden
  narg: eine weißliche Masse , das Smegma clitoridis
pspez1: Zwischen Clitoris und Praeputium clitoridis
pspez2A: aus abgestoßenen Epithelzellen",,"

? (""Smegma clitoridis"")
pra (""Praeputium clitoridis"")
",,27.05.2025 23:00:29 CEST,22,ELEVP32P,6LTWF36Y,678f,05C
